"Cruise","Station","Deployment","Tube","Channel","Region","Habitat",".id","Zone","SSE","P.Value","Top_Concen","Bottom_Concen","Top_Flux","Bottom_Flux","Integrated_Prod","OPD","Temperature","In_situ_temperature","In_situ_Integrated_Prod"
"OR1_1126","GC1","1","9","1","Gaoping","Canyon","OR1_1126_GC1_1_9_Ch1",3,66.191774880268,1.75911313193833e-06,150.784783535851,0.300000011920929,0.00112253474473009,2.92246397950581e-14,-0.00112253474472993,3479,17.96,12.4226166666667,-0.000764729676715466
"OR1_1126","GS1","1","1","1","Gaoping","Slope","OR1_1126_GS1_1_1_Ch1",6,11.6803071799314,0.00505980981271426,148.914171589493,-1.60000002384186,0.00177747312221189,4.63588837129203e-15,-0.00177747312221188,9973,25.57,13.8851333333333,-0.000790776047525976
"OR1_1126","GS1","1","1","2","Gaoping","Slope","OR1_1126_GS1_1_1_Ch2",8,6.26317364371161,0.00702980183985757,121.856595434539,-0.209999993443489,0.00130941052803442,3.75329908241392e-15,-0.00130941052803441,8975,25.57,13.8851333333333,-0.000582540725375043
"OR1_1126","GS4","1","6","1","Gaoping","Slope","OR1_1126_GS4_1_6_Ch1",6,43.9071237819016,0.0397661898667854,107.650802975743,-0.200000002980232,0.00272751971991023,-1.38757669675731e-15,-0.00272751971991016,6467,22,5.53776666666667,-0.00087137540243048
"OR1_1128","GC1","1","10","1","Gaoping","Canyon","OR1_1128_GC1_1_10_Ch1",10,10.4754486780793,0.000702588440841034,193.896932776906,-2.39000010490417,0.00182669414191101,1.55079554438228e-14,-0.00182669414191099,5725,12.41,13.7907166666667,-0.00201015501268484
"OR1_1128","GC1","1","10","2","Gaoping","Canyon","OR1_1128_GC1_1_10_Ch2",10,61.0205739155295,0.00416937202944689,215.213491970953,-1.82000005245209,0.00102851350486118,-4.16422043702598e-16,-0.00102851350486119,6416,12.41,13.7907166666667,-0.00113181048210287
"OR1_1128","GC1","1","10","3","Gaoping","Canyon","OR1_1128_GC1_1_10_Ch3",10,32.5741251617868,0.000870923989295003,222.815694449229,-4.21999979019165,0.000917362679486465,-5.1854796884827e-16,-0.00091736267948648,6711,12.41,13.7907166666667,-0.00100949641557979
"OR1_1128","GC1","1","10","4","Gaoping","Canyon","OR1_1128_GC1_1_10_Ch4",10,79.5919263202152,0.380370384878468,215.998072436039,-3.99000000953674,0.000597686018829514,-4.62203824537683e-16,-0.000597686018829509,6811,12.41,13.7907166666667,-0.000657713581708264
"OR1_1128","GC1","1","2","1","Gaoping","Canyon","OR1_1128_GC1_1_2_Ch1",10,339.093192304375,0.0535500695272901,223.890426884752,-2.09999990463257,0.000732154467088797,1.31810949103328e-14,-0.000732154467088814,7699,12.64,13.7907166666667,-0.000792944406297044
"OR1_1128","GC1","1","2","2","Gaoping","Canyon","OR1_1128_GC1_1_2_Ch2",10,94.9717393194374,0.00327128925435538,213.438448757592,-1.72000002861023,0.0013217375428687,1.20710770739401e-14,-0.00132173754286866,6712,12.64,13.7907166666667,-0.00143147988344291
"OR1_1128","GC1","1","2","3","Gaoping","Canyon","OR1_1128_GC1_1_2_Ch3",10,98.0690859593882,0.018992892161027,222.620319967928,-4.32999992370605,0.00159697492521595,-8.27793872707736e-16,-0.00159697492521592,6317,12.64,13.7907166666667,-0.00172956990753837
"OR1_1128","GC1","1","2","4","Gaoping","Canyon","OR1_1128_GC1_1_2_Ch4",9,94.2574968508262,0.00367987164956585,228.787106697224,-3.99000000953674,0.000109114906910352,-1.85105943945138e-16,-0.000109114906910388,6614,12.64,13.7907166666667,-0.000118174591520616
"OR1_1128","GC1","1","6","1","Gaoping","Canyon","OR1_1128_GC1_1_6_Ch1",10,16.8698888457274,0.0122326869688858,211.421237629452,-2.28999996185303,0.00100445639124565,-3.91926954062309e-16,-0.0010044563912457,6218,12.48,13.7907166666667,-0.00109998709414246
"OR1_1128","GC1","1","6","2","Gaoping","Canyon","OR1_1128_GC1_1_6_Ch2",10,141.004169292694,0.000366027373709499,213.823428680993,-1.67999994754791,0.000601326027764507,-1.81533838212364e-16,-0.0006013260277645,6514,12.48,13.7907166666667,-0.000658516263799749
"OR1_1128","GC1","1","6","3","Gaoping","Canyon","OR1_1128_GC1_1_6_Ch3",8,239.120973218394,0.00590895769607824,226.159687884444,-4.09000015258789,0.00107625522890838,-1.61149382526549e-16,-0.00107625522890832,6981,12.48,13.7907166666667,-0.0011786144944872
"OR1_1128","GC1","1","6","4","Gaoping","Canyon","OR1_1128_GC1_1_6_Ch4",10,81.1235862752982,0.292481030056738,219.008320382985,-3.76999998092651,0.000868175283398741,-2.74807774179381e-16,-0.000868175283398792,6505,12.48,13.7907166666667,-0.000950744716759477
